Nazwa aplikacji;Nazwa firmy;Koszty;Kraj;Wersje aplikacji;Data;ImiÍ;P≥ÍÊ;Przedrostek;Stanowisko
Toughjoyfax;Layo;$6726.52;Nicaragua;0.3.3;9/21/2019;Ganny;Male;Jr;Administrative Assistant I
Rank;Layo;$7719.42;Iceland;0.61;07.10.2017;Paulita;Female;III;Financial Advisor
Zontrax;Edgeclub;$8540.29;Peru;08.lut;9/14/2018;Mikkel;Male;Jr;Environmental Specialist
Temp;Skyndu;$6719.77;Canada;05.wrz;7/17/2021;Sampson;Male;III;Pharmacist
Y-find;Buzzdog;$7293.09;China;02.kwi;02.08.2017;Davy;Male;II;Director of Sales
Konklab;Devshare;$6735.41;Portugal;sie.34;5/22/2015;Thorvald;Male;Sr;Assistant Manager
Vagram;Jetwire;$9391.88;Poland;04.06.2009;4/25/2018;Julianne;Female;Sr;VP Product Management
Trippledex;Bluejam;$7500.12;China;08.06.2004;3/24/2016;Guinevere;Female;Sr;VP Sales
Namfix;Dabtype;$7492.66;Germany;07.lis;10.11.2020;Cesaro;Male;IV;Developer III
Stronghold;Ainyx;$6944.50;United States;06.05.2001;5/18/2020;Nichols;Male;Jr;Paralegal
Redhold;Geba;$6423.63;East Timor;03.sty;4/28/2021;Kristo;Male;II;Account Coordinator
Sonair;Layo;$8572.13;Ukraine;06.lis;04.12.2019;Rolfe;Male;III;Internal Auditor
Flexidy;Trunyx;$8985.20;United States;08.sie;11/26/2021;Bidget;Female;IV;VP Accounting
Konklab;Tambee;$8216.91;Macedonia;0.5.9;06.07.2017;Ira;Male;III;Electrical Engineer
Tres-Zap;Skimia;$8483.59;Norway;0.3.6;8/28/2021;Cazzie;Male;Jr;Recruiting Manager
Y-find;Feednation;$8122.76;Bangladesh;0.1.8;12.05.2017;Keely;Female;IV;Tax Accountant
Veribet;Twitternation;$8681.50;China;0.1.7;5/23/2016;Milzie;Female;II;Engineer IV
Regrant;Kwinu;$9085.62;Bulgaria;0.4.3;07.09.2018;Jacqui;Female;Jr;Sales Representative
Flexidy;Oyoyo;$7598.94;Netherlands;06.lut;11/15/2020;Nanny;Female;Jr;Marketing Assistant
Kanlam;Meejo;$6243.44;France;0.71;7/28/2022;Marchall;Male;Sr;Nuclear Power Engineer
Domainer;Skinix;$8571.81;Colombia;0.3.6;12/18/2019;Frasier;Male;III;Product Engineer
Otcom;Wordpedia;$6915.59;Belarus;09.lut;11.06.2021;Ilene;Female;III;Geological Engineer
Latlux;Zava;$7553.27;China;0.7.5;8/30/2018;Koral;Female;II;Registered Nurse
Latlux;Bluezoom;$9245.44;China;05.sie;01.01.2017;Ardelle;Female;Jr;Data Coordiator
Span;Gabcube;$8252.20;France;0.5.8;8/24/2015;Filmore;Male;IV;Electrical Engineer
Wrapsafe;Kwimbee;$6817.70;China;04.wrz;4/21/2016;Rutter;Male;Jr;Biostatistician I
Otcom;Skipfire;$7915.85;Indonesia;04.mar;3/19/2015;Waldo;Male;III;VP Sales
Vagram;Browsedrive;$9737.31;Brazil;0.3.3;10.11.2019;Forester;Male;Jr;VP Sales
Sonsing;Tagtune;$8969.85;Colombia;07.kwi;09.06.2018;Nichol;Female;Jr;Legal Assistant
Hatity;Linkbuzz;$7201.81;Falkland Islands;01.01.2000;2/20/2016;Martina;Female;Jr;Structural Analysis Engineer
Andalax;Demizz;$7366.59;New Zealand;kwi.64;3/27/2017;Corine;Female;Jr;Assistant Professor
Konklux;Blogtags;$7466.93;China;0.9.5;6/13/2020;Carley;Female;IV;Recruiting Manager
Alpha;Zava;$7253.31;Uzbekistan;0.64;11.12.2020;Jolee;Female;III;Graphic Designer
Zamit;Vinder;$9622.83;Indonesia;02.lip;3/29/2015;Gaspar;Male;IV;VP Accounting
Voltsillam;Twitterbeat;$9424.27;Brazil;3.0;12.01.2020;Flori;Female;II;Compensation Analyst
Aerified;Quimba;$6513.77;Honduras;04.02.2003;1/22/2018;Frederich;Male;III;Research Associate
Keylex;Shufflester;$7425.49;Finland;wrz.97;02.08.2017;Fannie;Female;III;Senior Cost Accountant
Hatity;Brightbean;$8989.68;Indonesia;0.58;09.07.2016;Harri;Female;II;Computer Systems Analyst II
Transcof;Wordware;$8465.73;Brazil;07.01.2003;10/25/2019;Gilda;Female;Jr;Health Coach IV
Lotlux;Buzzshare;$9153.95;Tajikistan;0.86;05.10.2022;Papagena;Female;Sr;Speech Pathologist
Zathin;Fanoodle;$6900.46;Indonesia;07.08.2004;4/20/2018;Eula;Female;Sr;Engineer II
Matsoft;Abata;$7024.38;North Korea;04.sty;09.06.2021;Saba;Female;II;Quality Engineer
Sonsing;Tagtune;$6805.77;Brazil;01.mar;11.09.2019;Rodney;Male;Sr;Social Worker
Pannier;Wikivu;$9417.33;Portugal;1.0.2;7/28/2018;Lisbeth;Female;IV;Senior Cost Accountant
Pannier;Tanoodle;$9165.58;Czech Republic;mar.15;1/20/2017;Barton;Male;Jr;Account Coordinator
Y-find;Mybuzz;$6287.84;Cameroon;0.92;3/24/2018;Adamo;Male;IV;Geological Engineer
Konklux;Kaymbo;$9054.04;Brazil;kwi.91;09.12.2021;Vanni;Female;III;Operator
Holdlamis;Jabberbean;$8386.86;Lithuania;sty.49;3/27/2016;Glenn;Male;IV;Health Coach III
Greenlam;Zoomcast;$7497.59;Ukraine;sty.16;11.10.2019;Brigg;Male;Sr;Software Engineer III
Aerified;Yodoo;$7126.49;China;09.maj;2/24/2019;Janos;Male;Jr;Financial Advisor
Stronghold;Talane;$9254.10;Indonesia;04.09.2006;11/15/2019;Ealasaid;Female;Jr;Graphic Designer
Fixflex;Tagfeed;$9956.48;Norway;0.94;6/28/2017;Olag;Male;II;Pharmacist
Quo Lux;Meejo;$6506.41;China;0.37;06.03.2018;Myrtie;Female;III;Food Chemist
It;Gabtype;$9408.18;United States;02.lut;06.04.2022;Alwyn;Male;Sr;Developer III
Rank;Flipstorm;$9691.07;Russia;0.64;12/16/2018;Burr;Male;Jr;Research Associate
Temp;Zoomlounge;$8972.28;China;0.2.8;05.12.2015;Cassey;Female;Jr;Software Engineer III
Hatity;Thoughtsphere;$8144.82;China;05.mar;12/21/2020;Vernen;Male;IV;Assistant Manager
Span;Brightbean;$6689.37;Russia;0.6.0;10.04.2015;Paulette;Female;IV;Pharmacist
Flexidy;Tagpad;$8105.23;Egypt;lip.34;11/18/2014;Juditha;Female;IV;Paralegal
Prodder;Oozz;$7576.54;Brazil;06.08.2003;12/23/2016;Heywood;Male;II;Editor
Zaam-Dox;Realpoint;$8411.63;Haiti;04.04.2007;12/19/2020;Eadmund;Male;II;Data Coordiator
Biodex;Innojam;$8520.11;China;03.kwi;8/26/2021;Eba;Female;II;VP Sales
Daltfresh;Shufflester;$9667.52;Afghanistan;0.50;12/13/2018;Thadeus;Male;III;Recruiting Manager
Tempsoft;Yotz;$8935.69;Mexico;0.22;1/24/2015;Linet;Female;Jr;Assistant Professor
Stim;Omba;$6045.89;Canada;03.wrz;3/27/2017;Dierdre;Female;IV;Occupational Therapist
It;Yamia;$9844.74;Democratic Republic of the Congo;0.37;2/25/2021;Conrad;Male;Jr;Account Representative II
Cardify;Trudoo;$8180.41;Mauritius;lip.32;12/23/2014;Annelise;Female;II;Marketing Manager
Pannier;Pixoboo;$6528.19;Albania;0.49;10.11.2018;Barry;Female;Jr;Nurse
Gembucket;Topicshots;$8738.74;Honduras;0.4.7;6/15/2018;Terrill;Male;Sr;Administrative Officer
Holdlamis;Thoughtbeat;$7284.97;China;06.lip;01.04.2015;Edgard;Male;Sr;Computer Systems Analyst IV
Bitwolf;Innojam;$7415.59;Pakistan;08.maj;7/30/2018;Gussy;Female;II;Registered Nurse
Konklab;Voonte;$8288.72;Germany;4.0;10.04.2022;Shane;Female;Sr;Administrative Officer
Cardguard;Tavu;$6795.11;Indonesia;7.0;05.06.2016;Margareta;Female;Sr;Librarian
Voyatouch;Voonix;$6240.41;Vietnam;0.1.9;05.11.2022;Shanna;Female;III;Geologist II
Pannier;Jetpulse;$9923.62;Argentina;05.cze;10/28/2019;Baird;Male;II;Software Test Engineer I
Tempsoft;Quatz;$9229.19;Poland;0.87;7/18/2020;Evelina;Female;IV;Environmental Specialist
Sonsing;Thoughtstorm;$6305.10;Indonesia;mar.93;3/31/2018;Boycey;Male;II;Technical Writer
Viva;Yoveo;$8203.94;Peru;06.sie;3/14/2016;Nana;Female;IV;Senior Developer
Pannier;Flashset;$6872.84;Portugal;0.1.3;3/21/2019;Chandra;Female;III;Accounting Assistant III
Job;Wikibox;$6605.45;Philippines;6.0.1;06.09.2019;Lanie;Female;Jr;Occupational Therapist
Gembucket;Linklinks;$7439.87;Sweden;0.57;11.09.2015;Dode;Female;III;Actuary
Zoolab;Mynte;$7768.71;Indonesia;maj.83;10/18/2020;Isaiah;Male;Jr;Executive Secretary
Greenlam;Dabvine;$6286.29;Peru;0.90;02.11.2019;Wayne;Male;IV;Help Desk Technician
Prodder;Dynabox;$6391.68;China;04.sty;7/19/2019;Thibaut;Male;II;Assistant Professor
Alpha;Zooveo;$9493.50;Nigeria;09.07.2005;11/18/2021;Ellwood;Male;II;Human Resources Manager
Bitchip;Edgetag;$6003.25;Poland;mar.68;3/29/2015;Saxon;Male;II;Technical Writer
Sonsing;Roodel;$6952.04;Czech Republic;06.02.2005;01.02.2021;Barthel;Male;Jr;Teacher
Regrant;Vitz;$9260.58;Greece;0.3.2;5/18/2022;Sly;Male;Jr;VP Marketing
Treeflex;Twimm;$7183.86;Philippines;07.lip;2/15/2018;Elmira;Female;Jr;Recruiting Manager
Quo Lux;Buzzbean;$6620.50;China;02.sty;1/20/2020;Reagen;Male;Jr;Information Systems Manager
Aerified;Shufflebeat;$8088.38;Brazil;kwi.22;07.01.2019;Lianna;Female;II;Community Outreach Specialist
Tres-Zap;Feednation;$8329.85;France;05.sie;06.10.2021;Barron;Male;Jr;Community Outreach Specialist
Y-find;Zoomcast;$6891.54;Japan;0.20;05.06.2016;Jerri;Male;Sr;Safety Technician I
Y-Solowarm;Bluezoom;$6322.42;Paraguay;0.34;5/15/2016;Tonnie;Male;III;Financial Advisor
Bamity;Blogspan;$7612.81;Indonesia;06.lut;02.09.2015;Skylar;Male;Jr;Geological Engineer
Cookley;Gabspot;$8317.67;Brazil;01.01.2003;10.11.2017;Kathy;Female;IV;Paralegal
Tin;Linklinks;$9552.88;China;0.81;6/24/2020;Hy;Male;III;Structural Engineer
Zoolab;Blogtags;$7150.10;South Africa;0.95;6/21/2018;Bevon;Male;II;Pharmacist
Redhold;Zooveo;$8951.32;Indonesia;5.0;12.09.2021;Pam;Female;Sr;Human Resources Assistant III
Gembucket;Snaptags;$6960.98;Russia;0.2.8;3/20/2018;Janice;Female;Jr;Recruiting Manager
Flowdesk;Fatz;$9213.61;France;0.4.8;04.02.2018;Duncan;Male;Sr;Recruiting Manager
Stronghold;Jaxworks;$9426.56;Indonesia;0.75;10/21/2015;Leann;Female;IV;Safety Technician IV
Sonair;Yabox;$6158.10;Afghanistan;02.lip;08.07.2017;Toni;Female;III;Assistant Media Planner
Transcof;Brightdog;$6563.15;Slovenia;0.73;8/18/2016;Krishnah;Male;IV;Research Assistant IV
Holdlamis;Browsebug;$9095.19;Croatia;0.8.9;02.10.2022;Kelcey;Female;II;Biostatistician II
Span;Blogtag;$6383.35;China;03.sty;10.12.2017;Car;Male;Sr;Automation Specialist IV
Zathin;Aimbu;$6760.79;Indonesia;lut.47;11/27/2020;Brander;Male;Jr;Quality Engineer
Asoka;Gigaclub;$8035.35;Indonesia;0.11;09.03.2015;Sayres;Male;III;Geologist IV
Lotlux;Topicware;$9050.85;Argentina;03.lut;11/23/2021;Rica;Female;IV;Technical Writer
Voltsillam;Skilith;$9440.57;Albania;05.01.2007;6/13/2019;Celesta;Female;IV;VP Product Management
Veribet;Tazz;$9486.86;Japan;0.46;10.04.2020;Lorelei;Female;III;Teacher
Cardguard;Jamia;$6333.41;Poland;4.0.2;10/17/2020;Zorina;Female;Sr;Operator
Gembucket;Blogspan;$8263.98;Portugal;0.1.4;04.07.2018;Dionisio;Male;Sr;Software Engineer III
Fintone;Dynazzy;$9085.72;Philippines;04.04.2009;5/31/2020;Caesar;Male;III;Software Engineer II
Vagram;Voomm;$8211.89;Poland;0.88;10/29/2015;Consuelo;Female;III;Programmer II
Konklux;Innotype;$6757.76;Indonesia;06.04.2006;7/25/2018;Bernadette;Female;Sr;Desktop Support Technician
Andalax;Jaxbean;$9567.11;China;0.16;1/14/2018;Hogan;Male;IV;Editor
Stringtough;Yakijo;$7666.41;China;0.8.2;2/20/2017;Ronni;Female;III;Sales Representative
Solarbreeze;InnoZ;$6918.72;Iran;5.0;12.10.2019;Freddy;Female;III;Structural Engineer
Stronghold;Yakijo;$7076.47;Greece;05.03.2009;11/14/2015;Iver;Male;Sr;Senior Cost Accountant
Zaam-Dox;Lajo;$9381.58;Pakistan;0.9.3;06.03.2020;Eimile;Female;III;Statistician III
Lotstring;Trilia;$8533.88;Japan;07.lip;08.08.2020;Emilia;Female;II;Data Coordiator
Y-find;Yakijo;$7142.85;Indonesia;0.17;1/25/2022;Brana;Female;II;Engineer III
Zaam-Dox;Oyope;$9028.33;China;mar.84;6/26/2018;Lonnard;Male;Sr;Software Engineer II
Stringtough;Voonder;$8034.04;Philippines;01.mar;11/14/2021;Jedidiah;Male;II;Legal Assistant
